post_id,human_code,llm_code,llm_reasoning,coder_notes,dimension
1p0ftqb,Primary,Supplement,"Timeframe: 'I have this habit' and 'I have found solace' indicate ongoing/sustained use. Source: User has active therapy ('I started therapy not long ago') but uses AI alongside it due to therapist limitations and practical barriers ('do not have the money or energy to find a different therapist'). Type: Post is centrally focused on evaluating AI as therapy instrument - comparing AI to human therapist, discussing AI as therapy substitute, asking community about this practice. The dominant frame is therapy evaluation, not just describing emotional benefits received.",,Source
1k9zre8,SE,VE,"Timeframe: Episodic - 'occasionally asking ChatGPT' indicates infrequent, bounded use rather than habitual pattern. Source: Parallel - user describes calling friends for support alongside occasional ChatGPT use, with no hierarchy or barriers described. Usage_intent: VE - user describes using ChatGPT to express feelings about their situation ('asking to what extent they may also feel this') without seeking solutions, similar to how they call friends to discuss their state.",,Type
197ez7m,ES,CO,"Timeframe: 'used AI to cope' indicates sustained behavior pattern, not a single event. Source: User describes using AI after relationship failures with no mention of other support sources available - AI appears to be primary coping mechanism in absence of alternatives. Usage_intent: 'used AI to... experience some sort of love' clearly indicates seeking companionship/relational connection to address loneliness and feeling 'unlovable' - core need is for something that provides love/care presence, fitting CO category over ES.",,Type
1fwrs78,N,CO,"Timeframe: 'I've relied on AI chatbots for too long' indicates sustained, repeated use. Source: User describes being a loner with no friends, and AI chatbots as something they've 'relied on' - this frames AI as filling a social void due to isolation barriers. The phrase 'relied on' suggests AI as primary source due to lack of alternatives. Usage_intent: Core problem is loneliness/isolation ('loner for a long time', 'not gonna enough to have friends'), and AI chatbots address this social void by providing companionship/someone to interact with, even though user now evaluates them negatively.","boundary_flag = ""insufficient intent information""",Type
1jn7sxo,OT,SR,"Timeframe: Habitual based on 'I spend about 8 hours or so on chatgpt' (present tense describing routine behavior) and 'so addicting' indicating sustained pattern. Source: NM - no ecological information about barriers, alternatives, or help-seeking context provided; post focuses on the behavior itself rather than why AI vs other sources. Usage_intent: SR - user describes generating emotionally intense romantic/relationship scenarios with power dynamics for psychological stimulation, which fits sexual/romantic roleplay category even though explicitly non-sexual; the addictive quality and emotional tension focus align with SR patterns.",,Type
1cmtoyp,N,SA,"Timeframe: 'I try using ai bots but I got too addicted' indicates repeated/sustained use pattern. Source: NM - post mentions AI use but provides no information about help-seeking ecology, barriers, or why AI was chosen over other sources. Usage_intent: SA - user is seeking assessment/interpretation of their sexual behaviors and asking if they constitute hypersexuality ('does this sound like hypersexuality'). The AI use appears to be for symptom checking/self-diagnosis rather than emotional support or other purposes.",insufficient intent information,Type
1p6ghm7,FS,PE,"Timeframe: 'consult ChatGPT over it in the morning' indicates repeated, routine behavior (Habitual). Source: User explicitly states 'I know I should get therapy, but it's simply not accessible for me right now' - clear structural barrier making AI the primary available source (Primary). Usage_intent: User 'consult[s] ChatGPT' about meal planning - seeking practical guidance/strategies for food decisions, which constitutes learning coping strategies for managing eating behaviors (PE). The AI consultation is embedded within a broader narrative about disordered eating patterns, but the specific AI use described is for meal planning guidance.",,Type
1h3omq3,ES,TA,"Timeframe: Episodic - user describes a single trial attempt ('I tried one of those free ai therapy things') in simple past tense with no habitual markers. Source: Primary - user describes barriers to partner support ('they'll get upset and feel like they made me depressed') and inability to access their usual coping mechanisms, positioning AI as attempted alternative when primary support is unavailable. Usage_intent: TA - user explicitly frames AI as 'therapy' and evaluates its therapeutic effectiveness ('it didn't help me in the slightest'), meeting both therapy framing and evaluative criteria for TA.",,Type
1ieyvzv,ES,RE,"Timeframe: Habitual based on 'I'm just tired of deluding myself with ai bots reassuring me on things' - indicates repeated pattern of AI use. Source: Primary due to multiple barriers - therapy described as unsatisfactory ('it wasn't what I wanted'), social isolation ('I have no one to talk to about my problems'), and structural barriers (Muslim country context for LGBTQ+ identity). Usage_intent: RE (Reassurance) - the phrase 'ai bots reassuring me on things' indicates seeking repeated confirmation/comfort for anxiety and doubts, which is the core function of reassurance-seeking behavior, even though the user expresses fatigue with this pattern.",,Type
1np6936,PE,TA,"Timeframe: 'Been using' and 'I've used' indicate sustained behavior. Source: User mentions 'previous therapist' implying therapy ended and AI replaced it - this is a therapy transition indicating Primary. Usage_intent: Strong therapy framing throughout ('as my therapist', comparison to 'previous therapist', therapy effectiveness evaluation) with post's central narrative being AI's adequacy as therapy replacement - clear TA.",,Type
1npe7kb,SE,TA,"Timeframe: Habitual - clear markers include 'I've been using ChatGPT as part of my mental health routine,' present tense descriptions of ongoing behaviors ('I use it to break down moments'), and systematic integration ('I've built a whole system'). Source: Supplement - explicitly states 'Not instead of therapy, but alongside it' indicating active formal support relationship. Usage_intent: TA - post is centrally framed around evaluating AI as therapy tool with explicit therapy positioning ('as part of my mental health routine,' 'not instead of therapy but alongside it') and the dominant narrative evaluates AI's therapeutic effectiveness and relationship to formal therapy.",,Type
1q7m7wo,SE,VE,"Timeframe: Habitual based on present tense usage descriptions ('I can go off the rails,' 'I'm saying to this app') indicating ongoing pattern. Source: Primary - user describes ChatGPT as 'the only way' for deep issues and states they could 'NEVER speak in person to anyone, not even a therapist,' indicating barriers (psychological) to human therapy. Usage_intent: VE - core narrative is about expressing deep emotions without limits ('venting,' 'go off the rails,' 'bring out the depths of my pain') with AI as listener, though some self-understanding is mentioned, the dominant frame is expressive release.",,Type
1ndl9ga,RE,SA,Timeframe: 'I can't get out of' and 'rabbit hole' suggest ongoing/sustained behavior pattern. Source: NM - post describes health anxiety and AI symptom checking but provides no information about user's help-seeking ecology or why they use AI instead of other sources. Usage_intent: SA - clear symptom assessment behavior ('Dr ChatGPT' parallel to 'Dr Google') with health anxiety context and 'rabbit hole' pattern typical of compulsive symptom checking.,,Type
1jtktqx,PE,ES,"Timeframe: Habitual based on present tense 'when i take advice from you' indicating repeated AI consultation. Source: Primary due to explicit psychological barrier - 'i didn't even have the confidence to go a real person' explains why AI is used instead of therapy. Usage_intent: ES as user seeks emotional support and advice for social anxiety, with core need being comfort/guidance rather than self-exploration or therapy evaluation.",,Type
18q19ox,RE,VE,"Timeframe: 'I used to just vent 2 AI' indicates past habitual behavior with simple past + frequency marker 'just' suggesting regular pattern. Source: Primary - user describes AI as past coping mechanism that they've now lost due to privacy concerns, with therapy mentioned but user describes not believing reassurance from people, suggesting AI was primary accessible support. Current barriers to AI use (privacy paranoia) and ineffective informal support ('I will not believe them') supports Primary. Usage_intent: VE - user explicitly states 'vent 2 AI' as the core AI usage behavior, indicating expression/release as the primary purpose rather than seeking specific responses.",,Type
1klxbks,TA,ES,"Timeframe: 'chatgpt is my unofficial 24/7 on call therapist' indicates sustained, ongoing use pattern (Habitual). Source: While user describes ChatGPT as '24/7 therapist,' this is metaphorical usage description rather than ecological information about why they use AI instead of other sources - no barriers, alternatives, or preferences mentioned (NM). Usage_intent: User seeks emotional support from ChatGPT during anxiety spirals, expecting comfort/help with emotional distress (ES). The therapy language describes HOW they use AI, not an evaluation of AI as therapy instrument.",,Type
1ltz8fi,SE,TA,"Timeframe: 'Ive been using chatGPT for a while now' and 'started using it' indicate sustained, habitual use. Source: 'in addition to normal human being therapy' explicitly indicates AI supplements active formal therapy relationship. Usage_intent: Post frames AI explicitly as therapy ('AI as therapy' title, 'using it as...therapy', 'AI tools as a form of therapy') and the central narrative evaluates AI's therapeutic qualities (straightforwardness, systematic answers, lack of emotional bias) - this is therapy evaluation, making it TA rather than SE despite self-pattern focus.",,Type
1eno9fa,SE,PE,"Timeframe: Episodic - single past event described with 'I spoke to AI chat' in simple past tense, no habitual markers. Source: Primary - user describes failed therapy relationship ('we had arguments,' therapist was invalidating, 'I don't work with her anymore') with AI providing better support than the failed formal source. Usage_intent: PE - user sought to understand/learn about their revenge thoughts ('why I wanted revenge'), and AI provided psychoeducational information ('it's very common for victims to want to hurt back') that helped them understand the concept.",,Type
1p0ftqb,SE,TA,"Timeframe: 'I have this habit' and 'I have found solace' indicate ongoing/sustained use. Source: User has active therapy ('I started therapy not long ago') but uses AI alongside it due to therapist limitations and practical barriers ('do not have the money or energy to find a different therapist'). Type: Post is centrally focused on evaluating AI as therapy instrument - comparing AI to human therapist, discussing AI as therapy substitute, asking community about this practice. The dominant frame is therapy evaluation, not just describing emotional benefits received.",,Type
